ProteinAccession,TaxonomyID,SpeciesName,GenomeAccession,Lineage,Genus,URL,Genus2
AAA83224,37325,Muscovy duck parvovirus,U22967.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1;Duck parvovirus,Anseriform dependoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/U22967.1,Dependoparvovirus
AAA83229,38251,Goose parvovirus,U25749.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1,Anseriform dependoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/U25749.1,Dependoparvovirus
AAA83224,37325,Muscovy duck parvovirus,U22967.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1;Duck parvovirus,Anseriform dependoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/U22967.1,Dependoparvovirus
AAA83229,38251,Goose parvovirus,U25749.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1,Anseriform dependoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/U25749.1,Dependoparvovirus
AAN03856,202813,Adeno-associated virus - 8,AF513852.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,Adeno-associated dependoparvovirus A,http://www.ncbi.nlm.nih.gov/nuccore/AF513852.1,Dependoparvovirus
AAN03854,202812,Adeno-associated virus - 7,AF513851.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,Adeno-associated dependoparvovirus A,http://www.ncbi.nlm.nih.gov/nuccore/AF513851.1,Dependoparvovirus
AAD27758,85106,Adeno-associated virus - 1,AF063497.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A,Adeno-associated dependoparvovirus A,http://www.ncbi.nlm.nih.gov/nuccore/AF063497.1,Dependoparvovirus
AAN03854,202812,Adeno-associated virus - 7,AF513851.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,Adeno-associated dependoparvovirus A,http://www.ncbi.nlm.nih.gov/nuccore/AF513851.1,Dependoparvovirus
AAT46336,235456,Adeno-associated virus 10,AY631965.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,Adeno-associated dependoparvovirus A,http://www.ncbi.nlm.nih.gov/nuccore/AY631965.1,Dependoparvovirus
AAB95451,68742,Adeno-associated virus 3B,AF028705.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 3,Adeno-associated dependoparvovirus A,http://www.ncbi.nlm.nih.gov/nuccore/AF028705.1,Dependoparvovirus
AAC58044,57579,Adeno-associated virus - 4,U89790.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A,Adeno-associated dependoparvovirus A,http://www.ncbi.nlm.nih.gov/nuccore/U89790.1,Dependoparvovirus
AAC03775,10804,Adeno-associated virus - 2,AF043303.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A,Adeno-associated dependoparvovirus A,http://www.ncbi.nlm.nih.gov/nuccore/AF043303.1,Dependoparvovirus
ABI16638,235458,Adeno-associated virus 12,DQ813647.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,Adeno-associated dependoparvovirus A,http://www.ncbi.nlm.nih.gov/nuccore/DQ813647.1,Dependoparvovirus
ADD17085,727962,Bat adeno-associated virus YNM,GU226971.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependovirus,unclassified Dependovirus,http://www.ncbi.nlm.nih.gov/nuccore/GU226971.1,Dependoparvovirus
AAR26464,256548,Bovine adeno-associated virus,AY388617.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B,Adeno-associated dependoparvovirus B,http://www.ncbi.nlm.nih.gov/nuccore/AY388617.1,Dependoparvovirus
AAD13755,82300,Adeno-associated virus - 5,AF085716.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B,Adeno-associated dependoparvovirus B,http://www.ncbi.nlm.nih.gov/nuccore/AF085716.1,Dependoparvovirus
AEM37643,1073950,California sea lion adeno-associated virus 1,JN420372.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Pinniped dependoparvovirus 1,Pinniped dependoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/JN420372.1,Dependoparvovirus
